Date / Time,City,State,Shape,Duration,Summary,Posted
1/8/11 17:20,Juneau,AK,Light,about 10 min,Bright silent object seen traveling in night sky,1/31/2011
1/8/15 21:30,Wasilla,AK,Triangle,10 seconds,Triangle being followed by plane over KGB.,1/16/2015
1/8/98 22:38,Fairbanks,AK,Oval,3 Secs,A large phlorescent green oval shaped object moving at a strange speed desending on the horizon ended in a large flash,2/16/1999
1/8/99 22:45,Copper Center,AK,Flash,flash,Bright white flash covering a larger area in the sky,2/16/1999
1/8/99 22:45,Wasilla,AK,Flash,30 seconds,"Widely reported event was an exploding meteor. ((NUFORC Note: Suspected meteor, but difficult to know for sure. PD))",10/15/2003
1/8/99 22:45,Palmer,AK,Flash,2 min.,At abt. 10:45 PM Alaska;A Flash of light (like a flash from a camera)lighted up the sky; then I would say about a minute after a boom s,2/16/1999
10/1/08 23:00,Juneau,AK,Light,15 minutes,Zigzagging ball of light next to a mountain.,1/16/2015
10/1/57 16:00,Nelchina (near),AK,Unknown,3 minutes maximum,"This incident occurred about October of 1956 or Ô57. At the time, I was Assistant station manager for a major airline in Anchorage as",12/7/2006
10/1/57 22:00,Northeast Cape AFS,AK,,10-15min,Radar sighting and filming,1/28/1999
10/10/06 23:55,Knik,AK,Triangle,5,"Slow moving, no sound, illuminated (craft) triangle over Point McKenzie, Alaska.",10/30/2006
10/11/01 2:15,Fairbanks,AK,Other,30 minutes,It looked like a star but it would move and after a few seconds a red aura would appear around it and emit objects.,10/12/2001
10/12/01 23:08,Eagle River,AK,Other,10 seconds,The stealth-shaped object was traveling at low altitude at a high speed with no sound and lights that flashed intermittently.,11/20/2001
10/12/12 21:05,Anchorage,AK,Fireball,10 seconds,Short rocket-like fireball near air force base.,10/30/2012
10/12/13 14:35,Kodiak,AK,Other,5 minutes,Huge and change of vector into sky.,10/14/2013
10/15/05 23:00,Fairbanks,AK,Light,30,"4 balls floating over town , disappearing one by one and coming back , happend twice",3/11/2006
10/15/36 17:00,Eklutna,AK,Cigar,3 minutes.,Two men approached by a cigar-shaped object in the night sky.,2/18/2001
10/15/89 22:00,Glennallen,AK,Unknown,approx 1 hour,"10/15/89 Bright fast moving light over valley west of Glennallen, Alaska",4/27/2007
10/18/02 5:30,Kotzebue,AK,Disk,10 sec,Saucer shaped aircraft taking off. Unbelievable acceleration. A bluish neon round light (glow) underneath the aircraft.,6/12/2008
10/18/05 1:00,Anchorage,AK,Other,2 hours,"These Structures were gyrating, twirling, twisting and dancing like a lariat in a ribbon like manner at extremely high speed.",10/20/2005
10/18/12 21:30,Fairbanks,AK,Light,5-10 minutes,"Changing light from bright to dim, to off to blue/red",10/30/2012
10/2/00 23:00,Fairbanks,AK,,hour,"Lights gradually coming on, and then going off in formation.",12/23/2002
